Model,Accuracy,Precision,Recall,F1,ROC-AUC,CV ROC-AUC Mean
Logistic Regression,0.8475645756457565,0.9244641218076778,0.8623954870555052,0.8923517915309446,0.9099863588796615,0.9111558124572273
Random Forest,0.9502214022140222,0.9653940948644434,0.9667069608139418,0.9660500817918711,0.98837729891359,0.988245470765478
XGBoost,0.9424723247232473,0.9675918826355876,0.9534098922131561,0.9604485374330872,0.986466823322259,0.9887795764726066
